Id,Titulo,Modelo,Marca,Estrelas,Avaliacoes,Url
#852884, 18-cu ft Top-Freezer Refrigerator (White),#FFTR1814TW,Frigidaire ,4.5,12559,https://www.lowes.com/pd/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-White/1000225701
#712177, 24.52-cu ft Side-by-Side Refrigerator with Ice Maker (Stainless Steel),#RS25J500DSR,Samsung ,3.5,552,https://www.lowes.com/pd/Samsung-24-52-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/1000027155
#1030901, 24.6-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),#WRS315SDHZ,Whirlpool ,4.5,1808,https://www.lowes.com/pd/Whirlpool-24-6-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000422565
#852875, 26.8-cu ft French Door Refrigerator with Ice Maker (Black Stainless Steel) ENERGY STAR,#FFHB2750TD,Frigidaire ,4.5,4047,https://www.lowes.com/pd/Frigidaire-26-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Black-Stainless-Steel-ENERGY-STAR/1000262637
#618013, 26.2-cu ft Side-by-Side Refrigerator with Ice Maker (Stainless Steel),#LSXS26326S,LG ,4.0,1000,https://www.lowes.com/pd/LG-26-2-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/50270241
#852874, 26.8-cu ft French Door Refrigerator with Ice Maker (EasyCare Stainless Steel) ENERGY STAR,#LFHB2751TF,Frigidaire ,4.5,1723,https://www.lowes.com/pd/Frigidaire-26-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-EasyCare-Stainless-Steel-ENERGY-STAR/1000225693
#852869, 25.5-cu ft Side-by-Side Refrigerator with Ice Maker (EasyCare Stainless Steel),#LFSS2612TF,Frigidaire ,4.5,4085,https://www.lowes.com/pd/Frigidaire-25-5-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-EasyCare-Stainless-Steel/1000245233
#751820, 24.6-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,#RF263TEAESG,Samsung ,4.0,891,https://www.lowes.com/pd/Samsung-24-6-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/999901085
#754716, 24.5-cu ft 4-Door 36-in French Door Refrigerator with Exterior Ice and Water Dispenser - Fingerprint Resistant Stainless Steel,#WRX735SDHZ,Whirlpool ,4.5,4903,https://www.lowes.com/pd/Whirlpool-24-5-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000257811
#2539967, 20.2-cu ft Top-Freezer Refrigerator (White) ENERGY STAR,#LTCS20020W,LG ,4.0,53,https://www.lowes.com/pd/LG-20-2-cu-ft-Top-Freezer-Refrigerator-White-ENERGY-STAR/1002886012
#852868, 25.5-cu ft Side-by-Side Refrigerator with Ice Maker (Black),#LFSS2612TE,Frigidaire ,4.5,4085,https://www.lowes.com/pd/Frigidaire-25-5-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Black/1000245231
#753010, 25.2-cu ft 3-Door 36-in French Door Refrigerator with Ice Maker and Interior Water Dispenser - Fingerprint Resistant Stainless Steel,#WRF535SWHZ,Whirlpool ,4.5,4167,https://www.lowes.com/pd/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000228559
#852883, 18-cu ft Top-Freezer Refrigerator (Black),#FFTR1814TB,Frigidaire ,4.5,6936,https://www.lowes.com/pd/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-Black/1000225699
#490608, 28.4-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),#WRS588FIHZ,Whirlpool ,4.5,2671,https://www.lowes.com/pd/Whirlpool-28-4-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000236845
#1405576, 17.1-cu ft Counter-depth Bottom-Freezer Refrigerator (Stainless Steel) ENERGY STAR,#HBM17158SS,Hisense ,4.5,167,https://www.lowes.com/pd/Hisense-17-1-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Stainless-Steel-ENERGY-STAR/1001105742
#714644, 24.7-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator with Exterior Ice and Water Dispenser - Fingerprint Resistant Stainless Steel,#WRF555SDFZ,Whirlpool ,4.5,3654,https://www.lowes.com/pd/Whirlpool-24-7-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000092933
#912753, 21.4-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),#WRS321SDHZ,Whirlpool ,4.5,3650,https://www.lowes.com/pd/Whirlpool-21-4-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000332339
#852866, 22-cu ft Side-by-Side Refrigerator with Ice Maker (EasyCare Stainless Steel),#LFSS2312TF,Frigidaire ,4.5,1629,https://www.lowes.com/pd/Frigidaire-22-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-EasyCare-Stainless-Steel/1000245227
#852902, 20.4-cu ft Top-Freezer Refrigerator (EasyCare Stainless Steel),#LFTR2021TF,Frigidaire ,4.0,4800,https://www.lowes.com/pd/Frigidaire-20-4-cu-ft-Top-Freezer-Refrigerator-EasyCare-Stainless-Steel/1000255015
#1392372, Family Hub Family Hub 27.7-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#RF28R7551SR,Samsung ,4.5,1297,https://www.lowes.com/pd/Samsung-Family-Hub-Family-Hub-27-7-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000948432
#916724, 26.2-cu ft 4-Door 36-in French Door Refrigerator with Exterior Drawer - Fingerprint Resistant Stainless Steel,#WRX986SIHZ,Whirlpool ,4.5,1882,https://www.lowes.com/pd/Whirlpool-26-2-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000318967
#719466, 17.5-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel),#RF18HFENBSR,Samsung ,3.5,534,https://www.lowes.com/pd/Samsung-17-5-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/1000005992
#970842, 9.8-cu ft Top-Freezer Refrigerator (White),#HA10TG21SW,Haier ,4.5,943,https://www.lowes.com/pd/Haier-9-8-cu-ft-Top-Freezer-Refrigerator-White/1000366385
#828917, 21.8-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,#LFDS22520S,LG ,4.5,295,https://www.lowes.com/pd/LG-21-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000551617
#735649, 20-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator with Interior Dispense - Stainless Steel,#KRFC300ESS,KitchenAid ,4.5,2594,https://www.lowes.com/pd/KitchenAid-20-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/50383140
#1654835, 27.4-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),#RS27T5200SR,Samsung ,4.5,138,https://www.lowes.com/pd/Samsung-27-4-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1002238294
#852876, Gallery 26.8-cu ft French Door Refrigerator with Dual Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,#LGHB2869TF,Frigidaire ,4.5,1536,https://www.lowes.com/pd/Frigidaire-Gallery-26-8-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Smudge-Proof-Stainless-Steel-ENERGY-STAR/1000289717
#623777, 14.3-cu ft Top-Freezer Refrigerator (White),#WRT314TFDW,Whirlpool ,4.5,1425,https://www.lowes.com/pd/Whirlpool-14-3-cu-ft-Top-Freezer-Refrigerator-White/50284165
#1689315, Garage-Ready 21.9-cu ft Top-Freezer Refrigerator (White),#GTS22KGNRWW,GE ,4.5,2785,https://www.lowes.com/pd/GE-Garage-Ready-21-9-cu-ft-Top-Freezer-Refrigerator-White/1001431370
